Profession,Total
Accountant,94
Actuary,5
Acupuncturist,4
Architect,66
Attorney-at-law,648
Auctioneer,13
Audiologist,1
Builder/Contractor,11
Cardiaac Technologist,5
Chiropodist,2
Chiropractor,8
Clinical Prosthetist,1
Clinical Psychologist,11
Dental Auxiliary,9
Dental Hygienist,18
Dental Practitioner,81
Dental Technician,11
Diagnostic Radiographer,37
Dietician,11
Draughtsman,218
Embalmer,8
Engineer,189
Funeral Director/Undertaker,53
Land Surveyor,57
Medical Laboratory Technician,108
Medical Practitioner,468
Nuclear Medical Technician,1
Nutritionist,4
Occupational Therapist,11
Ophthalmic Dispenser,12
Optometrist,16
Orthoptist,1
Osteopath,6
Paramedic,29
Pharmacist,301
Physiotherapist,55
Podiatrist,8
Prosthetist,2
Psychologist,9
Quantity Surveyor,11
Real Estate Agent,231
Real Estate Company,41
Reflexologist,10
Speech Therapist,8
Therapeutic Radiographer,6
Town Planner,10
Veterinary Surgeon,40
