Profession,Total
Accountant,78
Acupuncturist,6
Attorney-at-Law,625
Architect,73
Auctioneer,14
Audiologist,1
Builder and/or Contractor,11
Cardiac Technologist,5
Chiropodist,1
Chiropractor,8
Clinical Prosthetist,1
Clinical Psychologist,15
Counselling Psychologist,4
Dental Auxiliary,9
Dental Hygenist,16
Dental Practitioner,77
Dental Technician,10
Diagnostic Radiographer,33
Dietician,7
Draughtsman,252
Embalmer,6
Emergency Medical Technician,65
Emergency Medical Dispatcher,1
Engineer,172
Funeral Director/Undertaker,43
Land Surveyor,56
Medical Laboratory Technician,79
Medical Practitioner,564
Nuclear Medical Technologist,1
Nutritionist,1
Occupational Therapist,14
Ophthalmic Dispescer,12
Optometrist,15
Orthoptist,1
Orthotist,2
Osteopath,5
Paramedic,22
Pharmacist,274
Physiotherapist,48
Podiatrist,5
Prosthetist,2
Psychologist,6
Quantity Surveyor,9
Real Estate Agent,267
Real Estate Company,28
Reflexologist,12
Speech Therapist,7
Therapeutic Radiographer,3
Town Planner,9
Veterinary Surgeon,34
